id,country
1,Malaysia
2,Singapore
3,New Zealand
4,Taiwan
5,United Kingdom
6,Vietnam
7,India
8,South Korea
9,China
10,USA
11,Switzerland
12,Italy
13,Indonesia
14,Thailand
15,Turkey
16,Australia
17,Japan
18,Germany
19,Hong Kong
20,Greece
21,Peru
22,Philippines
23,Denmark
24,Belgium
25,Ecuador
26,Brazil
27,Russian Federation
28,United Arab Emirates
29,France
30,Mexico
31,Spain
32,Poland
33,Macau
34,Canada
35,Netherlands
36,Georgia
37,Sweden
38,Sri Lanka
39,Portugal
40,Cameroon
41,
42,South Africa
43,Colombia
44,Bolivia
45,Argentina
46,Austria
47,Finland
48,Egypt
49,Fiji
50,Ireland
51,Chile
52,Latvia
53,European Union
54,Czech Republic
55,Croatia
56,Mauritius
57,Bulgaria
58,Pakistan
59,Israel
60,Romania
61,Morocco
62,Slovenia
63,Hungary
64,Iran
65,Cambodia
66,Saudi Arabia
67,Armenia
68,Cyprus
69,Slovakia
70,Estonia
71,Swaziland
72,Norway
73,Oman
74,North Korea
75,Barbados
76,Luxembourg
77,Macedonia
78,Afghanistan
79,Lithuania
80,Zimbabwe
81,Nepal
82,Tunisia
83,Brunei Darussalam
84,Burma
85,Malta
86,Guatemala
87,Greenland
88,Serbia
89,Antarctica
90,Malawi
91,Bangladesh
92,Paraguay
93,Palestine
94,Bahrain
95,Ukraine
96,Puerto Rico
97,Trinidad and Tobago
98,Tanzania
99,Jamaica
100,Cuba
101,Panama
102,Iceland
103,Venezuela
104,Ethiopia
105,Mongolia
